;TRM - TERMOVALORIZZATORE DEL GERBIDO;ROBILANTE cement plant;Trino Vercellese;Colacem - Stabilimento di Caravate;Holcim (Italia) S.p.A.-unità produttiva di Ternate;TERMOVALORIZZATORE BUSTO ARSIZIO;RAFFINERIA SARPOM DI TRECATE;LOMELLINA ENERGIA;RAFFINERIA DI SANNAZZARO DE' BURGONDI;Iplom S.p.A - Raffineria di Busalla;TERMOVALORIZZATORE COMO;TERMOVALORIZZATORE DI DESIO;SILLA 2;TermoTrezzo;S.Giuliano Milanese;TERMOVALORIZZATORE DI CORTEOLONA E GENZONE;Impianto di termovalorizzazione di Valmadrera;Italcementi Calusco D'Adda;Termovalorizzatore di Dalmine;Piacenza;VERNASCA cement plant;Stabilimento di Tavernola Bergamasca;TERMOVALORIZZATORE DI BRESCIA;Italcementi di Rezzato;TERMOVALORIZZATORE - PAIP;TERMOVALORIZZAOTRE DI VERONA;HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI;TERMOVALORIZZATORE DI BOLZANO;HERAMBIENTE Spa -Termovalorizzatore;FRULLO ENERGIA AMBIENTE S.R.L.;MONSELICE cement plant;Stazione Ferroviaria;Cementirossi - Cementeria di Pederobba;Impianto di Termovalorizzazione di San Lazzaro (PD);HERAMBIENTE - 3^ LINEA;STABILIMENTO DI PONTE DELLA PRIULA;Ravenna;Venezia;FANNA cement plant;Termovalorizzatore di Rimini;Impianto di Termovalorizzazione Rifiuti di Trieste;Eni S.p.A Casalborsetti;Porto Corsini
TERMOVALORIZZATORE COMO;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;168488.7470;0.0000;0.0000;0.0000;0.0000;160286.5360;170767.4180;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE DI DESIO;0;0;0.0000;0;0.0000;154168.2340;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;133778.0920;0.0000;0.0000;0.0000;163654.3920;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
SILLA 2;0;0;0.0000;0;0.0000;0.0000;161661.0650;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;141530.3920;152309.7930;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TermoTrezzo;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;141530.3920;0.0000;146995.0130;0.0000;0.0000;0.0000;159526.2400;0.0000;0.0000;0.0000;276458.8780;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
S.Giuliano Milanese;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;166455.5350;0.0000;0.0000;0.0000;216403.4950;0.0000;0.0000;282691.7030;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE DI CORTEOLONA E GENZONE;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;158599.4630;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Impianto di termovalorizzazione di Valmadrera;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;156723.0720;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Italcementi Calusco D'Adda;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;163654.3920;0.0000;160510.7360;0.0000;0.0000;0.0000;0.0000;132736.2500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Termovalorizzatore di Dalmine;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;159526.2400;0.0000;0.0000;0.0000;132736.2500;0.0000;265902.9310;0.0000;168587.0820;215998.4840;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Piacenza;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;256733.4850;0.0000;240120.4990;369480.6110;0.0000;0;448543.3550;0.0000;0.0000;471921.0400;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
