;TRM - TERMOVALORIZZATORE DEL GERBIDO;ROBILANTE cement plant;Trino Vercellese;Colacem - Stabilimento di Caravate;Holcim (Italia) S.p.A.-unità produttiva di Ternate;TERMOVALORIZZATORE BUSTO ARSIZIO;RAFFINERIA SARPOM DI TRECATE;LOMELLINA ENERGIA;RAFFINERIA DI SANNAZZARO DE' BURGONDI;Iplom S.p.A - Raffineria di Busalla;TERMOVALORIZZATORE COMO;TERMOVALORIZZATORE DI DESIO;SILLA 2;TermoTrezzo;S.Giuliano Milanese;TERMOVALORIZZATORE DI CORTEOLONA E GENZONE;Impianto di termovalorizzazione di Valmadrera;Italcementi Calusco D'Adda;Termovalorizzatore di Dalmine;Piacenza;VERNASCA cement plant;Stabilimento di Tavernola Bergamasca;TERMOVALORIZZATORE DI BRESCIA;Italcementi di Rezzato;TERMOVALORIZZATORE - PAIP;TERMOVALORIZZAOTRE DI VERONA;HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI;TERMOVALORIZZATORE DI BOLZANO;HERAMBIENTE Spa -Termovalorizzatore;FRULLO ENERGIA AMBIENTE S.R.L.;MONSELICE cement plant;Stazione Ferroviaria;Cementirossi - Cementeria di Pederobba;Impianto di Termovalorizzazione di San Lazzaro (PD);HERAMBIENTE - 3^ LINEA;STABILIMENTO DI PONTE DELLA PRIULA;Ravenna;Venezia;FANNA cement plant;Termovalorizzatore di Rimini;Impianto di Termovalorizzazione Rifiuti di Trieste;Eni S.p.A Casalborsetti;Porto Corsini
TRM - TERMOVALORIZZATORE DEL GERBIDO;0;0;11593775.7840;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
ROBILANTE cement plant;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;22587167.8950;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Trino Vercellese;0;0;0.0000;0;0.0000;0.0000;10009170.2490;8568719.5270;9928247.1650;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Colacem - Stabilimento di Caravate;0;0;0.0000;0;3482583.8280;0.0000;0.0000;0.0000;0.0000;0.0000;7677831.0620;10416381.5890;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Holcim (Italia) S.p.A.-unità produttiva di Ternate;0;0;0.0000;0;0.0000;6448665.5620;0.0000;0.0000;0.0000;0.0000;6930490.1580;9152901.3410;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE BUSTO ARSIZIO;0;0;0.0000;0;0.0000;0.0000;3949812.1220;0.0000;0.0000;0.0000;0.0000;6534473.0070;4650726.6230;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
RAFFINERIA SARPOM DI TRECATE;0;0;0.0000;0;0.0000;3949812.1220;0.0000;4206781.6430;0.0000;0.0000;0.0000;0.0000;5427848.1610;0.0000;8597549.3020;10822178.5200;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
LOMELLINA ENERGIA;0;0;0.0000;0;0.0000;0.0000;4206781.6430;0.0000;5341911.0060;0.0000;0.0000;0.0000;7260974.1200;0.0000;8757520.8440;9637348.6450;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
RAFFINERIA DI SANNAZZARO DE' BURGONDI;0;0;0.0000;0;0.0000;0.0000;0.0000;5341911.0060;0.0000;11567162.0420;0.0000;0.0000;0.0000;0.0000;9550851.9150;8257793.6150;0.0000;0.0000;0.0000;13371738.5590;15902092.7600;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Iplom S.p.A - Raffineria di Busalla;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;11567162.0420;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14122820.5270;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE COMO;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4569565.5320;0.0000;0.0000;0.0000;0.0000;5413732.1360;7216637.7480;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE DI DESIO;0;0;0.0000;0;0.0000;6534473.0070;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3015508.2270;0.0000;0.0000;0.0000;5227002.4810;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
SILLA 2;0;0;0.0000;0;0.0000;0.0000;5427848.1610;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3771438.3120;5033853.6670;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TermoTrezzo;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3771438.3120;0.0000;4347955.5740;0.0000;0.0000;0.0000;7070702.5920;0.0000;0.0000;0.0000;14535688.7480;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
S.Giuliano Milanese;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5540879.7440;0.0000;0.0000;0.0000;10451881.5300;0.0000;0.0000;14154436.8860;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
