MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
04/01/2023 13:00:00 - 04/01/2023 14:00:00,172.0,EUR,
04/01/2023 14:00:00 - 04/01/2023 15:00:00,216.43,EUR,
04/01/2023 15:00:00 - 04/01/2023 16:00:00,301.95,EUR,
04/01/2023 16:00:00 - 04/01/2023 17:00:00,362.31,EUR,
04/01/2023 17:00:00 - 04/01/2023 18:00:00,329.48,EUR,
04/01/2023 18:00:00 - 04/01/2023 19:00:00,317.0,EUR,
04/01/2023 19:00:00 - 04/01/2023 20:00:00,255.28,EUR,
04/01/2023 20:00:00 - 04/01/2023 21:00:00,255.8,EUR,
04/01/2023 21:00:00 - 04/01/2023 22:00:00,190.06,EUR,
04/01/2023 22:00:00 - 04/01/2023 23:00:00,179.99,EUR,
04/01/2023 23:00:00 - 05/01/2023 00:00:00,137.9,EUR,
05/01/2023 00:00:00 - 05/01/2023 01:00:00,150.98,EUR,
05/01/2023 01:00:00 - 05/01/2023 02:00:00,123.0,EUR,
05/01/2023 02:00:00 - 05/01/2023 03:00:00,107.0,EUR,
05/01/2023 03:00:00 - 05/01/2023 04:00:00,100.0,EUR,
05/01/2023 04:00:00 - 05/01/2023 05:00:00,160.0,EUR,
05/01/2023 05:00:00 - 05/01/2023 06:00:00,263.11,EUR,
05/01/2023 06:00:00 - 05/01/2023 07:00:00,356.04,EUR,
05/01/2023 07:00:00 - 05/01/2023 08:00:00,361.04,EUR,
05/01/2023 08:00:00 - 05/01/2023 09:00:00,264.11,EUR,
05/01/2023 09:00:00 - 05/01/2023 10:00:00,242.65,EUR,
05/01/2023 10:00:00 - 05/01/2023 11:00:00,192.94,EUR,
05/01/2023 11:00:00 - 05/01/2023 12:00:00,184.38,EUR,
05/01/2023 12:00:00 - 05/01/2023 13:00:00,165.0,EUR,
05/01/2023 13:00:00 - 05/01/2023 14:00:00,165.1,EUR,
05/01/2023 14:00:00 - 05/01/2023 15:00:00,202.42,EUR,
05/01/2023 15:00:00 - 05/01/2023 16:00:00,261.05,EUR,
05/01/2023 16:00:00 - 05/01/2023 17:00:00,261.04,EUR,
05/01/2023 17:00:00 - 05/01/2023 18:00:00,293.0,EUR,
05/01/2023 18:00:00 - 05/01/2023 19:00:00,261.22,EUR,
05/01/2023 19:00:00 - 05/01/2023 20:00:00,261.79,EUR,
05/01/2023 20:00:00 - 05/01/2023 21:00:00,216.3,EUR,
05/01/2023 21:00:00 - 05/01/2023 22:00:00,205.0,EUR,
05/01/2023 22:00:00 - 05/01/2023 23:00:00,184.99,EUR,
05/01/2023 23:00:00 - 06/01/2023 00:00:00,160.86,EUR,
06/01/2023 00:00:00 - 06/01/2023 01:00:00,173.13,EUR,
06/01/2023 01:00:00 - 06/01/2023 02:00:00,170.77,EUR,
06/01/2023 02:00:00 - 06/01/2023 03:00:00,160.0,EUR,
06/01/2023 03:00:00 - 06/01/2023 04:00:00,150.0,EUR,
06/01/2023 04:00:00 - 06/01/2023 05:00:00,152.1,EUR,
