MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
15/04/2023 08:00:00 - 15/04/2023 09:00:00,158.96,EUR,
15/04/2023 09:00:00 - 15/04/2023 10:00:00,101.92,EUR,
15/04/2023 10:00:00 - 15/04/2023 11:00:00,128.0,EUR,
15/04/2023 11:00:00 - 15/04/2023 12:00:00,120.92,EUR,
15/04/2023 12:00:00 - 15/04/2023 13:00:00,109.88,EUR,
15/04/2023 13:00:00 - 15/04/2023 14:00:00,100.01,EUR,
15/04/2023 14:00:00 - 15/04/2023 15:00:00,97.4,EUR,
15/04/2023 15:00:00 - 15/04/2023 16:00:00,106.5,EUR,
15/04/2023 16:00:00 - 15/04/2023 17:00:00,112.9,EUR,
15/04/2023 17:00:00 - 15/04/2023 18:00:00,98.81,EUR,
15/04/2023 18:00:00 - 15/04/2023 19:00:00,112.67,EUR,
15/04/2023 19:00:00 - 15/04/2023 20:00:00,171.24,EUR,
15/04/2023 20:00:00 - 15/04/2023 21:00:00,188.92,EUR,
15/04/2023 21:00:00 - 15/04/2023 22:00:00,127.8,EUR,
15/04/2023 22:00:00 - 15/04/2023 23:00:00,135.0,EUR,
15/04/2023 23:00:00 - 16/04/2023 00:00:00,119.3,EUR,
16/04/2023 00:00:00 - 16/04/2023 01:00:00,130.0,EUR,
16/04/2023 01:00:00 - 16/04/2023 02:00:00,126.23,EUR,
16/04/2023 02:00:00 - 16/04/2023 03:00:00,124.0,EUR,
16/04/2023 03:00:00 - 16/04/2023 04:00:00,123.64,EUR,
16/04/2023 04:00:00 - 16/04/2023 05:00:00,124.0,EUR,
16/04/2023 05:00:00 - 16/04/2023 06:00:00,124.0,EUR,
16/04/2023 06:00:00 - 16/04/2023 07:00:00,124.0,EUR,
16/04/2023 07:00:00 - 16/04/2023 08:00:00,131.65,EUR,
16/04/2023 08:00:00 - 16/04/2023 09:00:00,110.43,EUR,
16/04/2023 09:00:00 - 16/04/2023 10:00:00,114.68,EUR,
16/04/2023 10:00:00 - 16/04/2023 11:00:00,125.92,EUR,
16/04/2023 11:00:00 - 16/04/2023 12:00:00,125.61,EUR,
16/04/2023 12:00:00 - 16/04/2023 13:00:00,100.01,EUR,
16/04/2023 13:00:00 - 16/04/2023 14:00:00,74.0,EUR,
16/04/2023 14:00:00 - 16/04/2023 15:00:00,94.83,EUR,
16/04/2023 15:00:00 - 16/04/2023 16:00:00,101.0,EUR,
16/04/2023 16:00:00 - 16/04/2023 17:00:00,101.0,EUR,
16/04/2023 17:00:00 - 16/04/2023 18:00:00,124.03,EUR,
16/04/2023 18:00:00 - 16/04/2023 19:00:00,115.21,EUR,
16/04/2023 19:00:00 - 16/04/2023 20:00:00,132.88,EUR,
16/04/2023 20:00:00 - 16/04/2023 21:00:00,140.0,EUR,
16/04/2023 21:00:00 - 16/04/2023 22:00:00,140.14,EUR,
16/04/2023 22:00:00 - 16/04/2023 23:00:00,134.05,EUR,
16/04/2023 23:00:00 - 17/04/2023 00:00:00,130.7,EUR,
17/04/2023 00:00:00 - 17/04/2023 01:00:00,128.25,EUR,
17/04/2023 01:00:00 - 17/04/2023 02:00:00,124.0,EUR,
17/04/2023 02:00:00 - 17/04/2023 03:00:00,122.7,EUR,
17/04/2023 03:00:00 - 17/04/2023 04:00:00,120.0,EUR,
17/04/2023 04:00:00 - 17/04/2023 05:00:00,122.63,EUR,
17/04/2023 05:00:00 - 17/04/2023 06:00:00,127.6,EUR,
17/04/2023 06:00:00 - 17/04/2023 07:00:00,138.55,EUR,
17/04/2023 07:00:00 - 17/04/2023 08:00:00,137.06,EUR,
17/04/2023 08:00:00 - 17/04/2023 09:00:00,136.96,EUR,
17/04/2023 09:00:00 - 17/04/2023 10:00:00,127.13,EUR,
17/04/2023 10:00:00 - 17/04/2023 11:00:00,138.89,EUR,
17/04/2023 11:00:00 - 17/04/2023 12:00:00,135.77,EUR,
17/04/2023 12:00:00 - 17/04/2023 13:00:00,126.18,EUR,
17/04/2023 13:00:00 - 17/04/2023 14:00:00,123.07,EUR,
17/04/2023 14:00:00 - 17/04/2023 15:00:00,125.65,EUR,
17/04/2023 15:00:00 - 17/04/2023 16:00:00,127.66,EUR,
17/04/2023 16:00:00 - 17/04/2023 17:00:00,129.99,EUR,
17/04/2023 17:00:00 - 17/04/2023 18:00:00,134.53,EUR,
17/04/2023 18:00:00 - 17/04/2023 19:00:00,139.23,EUR,
17/04/2023 19:00:00 - 17/04/2023 20:00:00,195.3,EUR,
17/04/2023 20:00:00 - 17/04/2023 21:00:00,205.0,EUR,
17/04/2023 21:00:00 - 17/04/2023 22:00:00,179.5,EUR,
17/04/2023 22:00:00 - 17/04/2023 23:00:00,142.14,EUR,
17/04/2023 23:00:00 - 18/04/2023 00:00:00,137.48,EUR,
18/04/2023 00:00:00 - 18/04/2023 01:00:00,135.59,EUR,
18/04/2023 01:00:00 - 18/04/2023 02:00:00,130.28,EUR,
18/04/2023 02:00:00 - 18/04/2023 03:00:00,127.73,EUR,
18/04/2023 03:00:00 - 18/04/2023 04:00:00,127.12,EUR,
18/04/2023 04:00:00 - 18/04/2023 05:00:00,128.5,EUR,
18/04/2023 05:00:00 - 18/04/2023 06:00:00,133.65,EUR,
18/04/2023 06:00:00 - 18/04/2023 07:00:00,139.67,EUR,
18/04/2023 07:00:00 - 18/04/2023 08:00:00,191.0,EUR,
18/04/2023 08:00:00 - 18/04/2023 09:00:00,198.92,EUR,
18/04/2023 09:00:00 - 18/04/2023 10:00:00,133.99,EUR,
18/04/2023 10:00:00 - 18/04/2023 11:00:00,130.23,EUR,
18/04/2023 11:00:00 - 18/04/2023 12:00:00,125.47,EUR,
18/04/2023 12:00:00 - 18/04/2023 13:00:00,114.1,EUR,
18/04/2023 13:00:00 - 18/04/2023 14:00:00,113.9,EUR,
18/04/2023 14:00:00 - 18/04/2023 15:00:00,101.15,EUR,
18/04/2023 15:00:00 - 18/04/2023 16:00:00,116.7,EUR,
18/04/2023 16:00:00 - 18/04/2023 17:00:00,116.52,EUR,
18/04/2023 17:00:00 - 18/04/2023 18:00:00,132.61,EUR,
18/04/2023 18:00:00 - 18/04/2023 19:00:00,108.21,EUR,
18/04/2023 19:00:00 - 18/04/2023 20:00:00,203.7,EUR,
18/04/2023 20:00:00 - 18/04/2023 21:00:00,165.73,EUR,
18/04/2023 21:00:00 - 18/04/2023 22:00:00,123.17,EUR,
18/04/2023 22:00:00 - 18/04/2023 23:00:00,120.75,EUR,
18/04/2023 23:00:00 - 19/04/2023 00:00:00,136.3,EUR,
19/04/2023 00:00:00 - 19/04/2023 01:00:00,132.72,EUR,
19/04/2023 01:00:00 - 19/04/2023 02:00:00,127.0,EUR,
19/04/2023 02:00:00 - 19/04/2023 03:00:00,120.0,EUR,
19/04/2023 03:00:00 - 19/04/2023 04:00:00,119.9,EUR,
19/04/2023 04:00:00 - 19/04/2023 05:00:00,119.9,EUR,
19/04/2023 05:00:00 - 19/04/2023 06:00:00,128.89,EUR,
19/04/2023 06:00:00 - 19/04/2023 07:00:00,143.35,EUR,
19/04/2023 07:00:00 - 19/04/2023 08:00:00,165.16,EUR,
19/04/2023 08:00:00 - 19/04/2023 09:00:00,141.86,EUR,
19/04/2023 09:00:00 - 19/04/2023 10:00:00,140.32,EUR,
19/04/2023 10:00:00 - 19/04/2023 11:00:00,131.05,EUR,
19/04/2023 11:00:00 - 19/04/2023 12:00:00,124.99,EUR,
19/04/2023 12:00:00 - 19/04/2023 13:00:00,113.7,EUR,
19/04/2023 13:00:00 - 19/04/2023 14:00:00,111.33,EUR,
19/04/2023 14:00:00 - 19/04/2023 15:00:00,113.23,EUR,
19/04/2023 15:00:00 - 19/04/2023 16:00:00,123.02,EUR,
19/04/2023 16:00:00 - 19/04/2023 17:00:00,129.45,EUR,
19/04/2023 17:00:00 - 19/04/2023 18:00:00,130.13,EUR,
19/04/2023 18:00:00 - 19/04/2023 19:00:00,138.76,EUR,
19/04/2023 19:00:00 - 19/04/2023 20:00:00,172.71,EUR,
19/04/2023 20:00:00 - 19/04/2023 21:00:00,173.22,EUR,
19/04/2023 21:00:00 - 19/04/2023 22:00:00,149.55,EUR,
19/04/2023 22:00:00 - 19/04/2023 23:00:00,138.11,EUR,
19/04/2023 23:00:00 - 20/04/2023 00:00:00,135.69,EUR,
20/04/2023 00:00:00 - 20/04/2023 01:00:00,132.19,EUR,
20/04/2023 01:00:00 - 20/04/2023 02:00:00,122.84,EUR,
20/04/2023 02:00:00 - 20/04/2023 03:00:00,96.76,EUR,
20/04/2023 03:00:00 - 20/04/2023 04:00:00,94.98,EUR,
20/04/2023 04:00:00 - 20/04/2023 05:00:00,116.7,EUR,
20/04/2023 05:00:00 - 20/04/2023 06:00:00,126.8,EUR,
20/04/2023 06:00:00 - 20/04/2023 07:00:00,141.21,EUR,
20/04/2023 07:00:00 - 20/04/2023 08:00:00,144.48,EUR,
20/04/2023 08:00:00 - 20/04/2023 09:00:00,141.78,EUR,
20/04/2023 09:00:00 - 20/04/2023 10:00:00,109.87,EUR,
20/04/2023 10:00:00 - 20/04/2023 11:00:00,85.25,EUR,
20/04/2023 11:00:00 - 20/04/2023 12:00:00,96.94,EUR,
20/04/2023 12:00:00 - 20/04/2023 13:00:00,94.23,EUR,
20/04/2023 13:00:00 - 20/04/2023 14:00:00,89.61,EUR,
20/04/2023 14:00:00 - 20/04/2023 15:00:00,86.0,EUR,
20/04/2023 15:00:00 - 20/04/2023 16:00:00,86.16,EUR,
20/04/2023 16:00:00 - 20/04/2023 17:00:00,92.09,EUR,
20/04/2023 17:00:00 - 20/04/2023 18:00:00,103.76,EUR,
20/04/2023 18:00:00 - 20/04/2023 19:00:00,128.99,EUR,
20/04/2023 19:00:00 - 20/04/2023 20:00:00,180.38,EUR,
20/04/2023 20:00:00 - 20/04/2023 21:00:00,209.6,EUR,
20/04/2023 21:00:00 - 20/04/2023 22:00:00,152.33,EUR,
20/04/2023 22:00:00 - 20/04/2023 23:00:00,142.65,EUR,
20/04/2023 23:00:00 - 21/04/2023 00:00:00,102.47,EUR,
21/04/2023 00:00:00 - 21/04/2023 01:00:00,130.74,EUR,
21/04/2023 01:00:00 - 21/04/2023 02:00:00,127.14,EUR,
21/04/2023 02:00:00 - 21/04/2023 03:00:00,122.08,EUR,
21/04/2023 03:00:00 - 21/04/2023 04:00:00,120.7,EUR,
21/04/2023 04:00:00 - 21/04/2023 05:00:00,120.0,EUR,
21/04/2023 05:00:00 - 21/04/2023 06:00:00,127.18,EUR,
21/04/2023 06:00:00 - 21/04/2023 07:00:00,140.06,EUR,
21/04/2023 07:00:00 - 21/04/2023 08:00:00,135.93,EUR,
21/04/2023 08:00:00 - 21/04/2023 09:00:00,135.63,EUR,
21/04/2023 09:00:00 - 21/04/2023 10:00:00,110.42,EUR,
21/04/2023 10:00:00 - 21/04/2023 11:00:00,94.32,EUR,
21/04/2023 11:00:00 - 21/04/2023 12:00:00,79.48,EUR,
21/04/2023 12:00:00 - 21/04/2023 13:00:00,71.09,EUR,
21/04/2023 13:00:00 - 21/04/2023 14:00:00,68.97,EUR,
21/04/2023 14:00:00 - 21/04/2023 15:00:00,67.88,EUR,
21/04/2023 15:00:00 - 21/04/2023 16:00:00,89.6,EUR,
21/04/2023 16:00:00 - 21/04/2023 17:00:00,107.71,EUR,
21/04/2023 17:00:00 - 21/04/2023 18:00:00,112.0,EUR,
21/04/2023 18:00:00 - 21/04/2023 19:00:00,141.04,EUR,
21/04/2023 19:00:00 - 21/04/2023 20:00:00,189.99,EUR,
21/04/2023 20:00:00 - 21/04/2023 21:00:00,200.0,EUR,
21/04/2023 21:00:00 - 21/04/2023 22:00:00,199.07,EUR,
21/04/2023 22:00:00 - 21/04/2023 23:00:00,149.56,EUR,
21/04/2023 23:00:00 - 22/04/2023 00:00:00,140.75,EUR,
22/04/2023 00:00:00 - 22/04/2023 01:00:00,134.97,EUR,
22/04/2023 01:00:00 - 22/04/2023 02:00:00,134.62,EUR,
22/04/2023 02:00:00 - 22/04/2023 03:00:00,134.77,EUR,
22/04/2023 03:00:00 - 22/04/2023 04:00:00,134.28,EUR,
22/04/2023 04:00:00 - 22/04/2023 05:00:00,133.28,EUR,
22/04/2023 05:00:00 - 22/04/2023 06:00:00,134.15,EUR,
22/04/2023 06:00:00 - 22/04/2023 07:00:00,164.8,EUR,
22/04/2023 07:00:00 - 22/04/2023 08:00:00,120.0,EUR,
22/04/2023 08:00:00 - 22/04/2023 09:00:00,101.39,EUR,
22/04/2023 09:00:00 - 22/04/2023 10:00:00,112.0,EUR,
22/04/2023 10:00:00 - 22/04/2023 11:00:00,107.23,EUR,
22/04/2023 11:00:00 - 22/04/2023 12:00:00,73.31,EUR,
22/04/2023 12:00:00 - 22/04/2023 13:00:00,51.0,EUR,
22/04/2023 13:00:00 - 22/04/2023 14:00:00,34.84,EUR,
22/04/2023 14:00:00 - 22/04/2023 15:00:00,35.97,EUR,
22/04/2023 15:00:00 - 22/04/2023 16:00:00,76.0,EUR,
22/04/2023 16:00:00 - 22/04/2023 17:00:00,79.94,EUR,
22/04/2023 17:00:00 - 22/04/2023 18:00:00,110.63,EUR,
22/04/2023 18:00:00 - 22/04/2023 19:00:00,127.4,EUR,
22/04/2023 19:00:00 - 22/04/2023 20:00:00,162.25,EUR,
22/04/2023 20:00:00 - 22/04/2023 21:00:00,182.0,EUR,
22/04/2023 21:00:00 - 22/04/2023 22:00:00,144.0,EUR,
22/04/2023 22:00:00 - 22/04/2023 23:00:00,135.68,EUR,
22/04/2023 23:00:00 - 23/04/2023 00:00:00,131.11,EUR,
23/04/2023 00:00:00 - 23/04/2023 01:00:00,136.18,EUR,
23/04/2023 01:00:00 - 23/04/2023 02:00:00,130.28,EUR,
23/04/2023 02:00:00 - 23/04/2023 03:00:00,128.1,EUR,
23/04/2023 03:00:00 - 23/04/2023 04:00:00,128.11,EUR,
23/04/2023 04:00:00 - 23/04/2023 05:00:00,123.98,EUR,
23/04/2023 05:00:00 - 23/04/2023 06:00:00,124.02,EUR,
23/04/2023 06:00:00 - 23/04/2023 07:00:00,70.21,EUR,
23/04/2023 07:00:00 - 23/04/2023 08:00:00,54.58,EUR,
23/04/2023 08:00:00 - 23/04/2023 09:00:00,62.6,EUR,
23/04/2023 09:00:00 - 23/04/2023 10:00:00,57.01,EUR,
23/04/2023 10:00:00 - 23/04/2023 11:00:00,26.11,EUR,
23/04/2023 11:00:00 - 23/04/2023 12:00:00,24.04,EUR,
23/04/2023 12:00:00 - 23/04/2023 13:00:00,9.01,EUR,
23/04/2023 13:00:00 - 23/04/2023 14:00:00,1.04,EUR,
23/04/2023 14:00:00 - 23/04/2023 15:00:00,2.58,EUR,
23/04/2023 15:00:00 - 23/04/2023 16:00:00,54.38,EUR,
23/04/2023 16:00:00 - 23/04/2023 17:00:00,105.0,EUR,
23/04/2023 17:00:00 - 23/04/2023 18:00:00,80.45,EUR,
23/04/2023 18:00:00 - 23/04/2023 19:00:00,130.0,EUR,
23/04/2023 19:00:00 - 23/04/2023 20:00:00,173.1,EUR,
23/04/2023 20:00:00 - 23/04/2023 21:00:00,190.41,EUR,
23/04/2023 21:00:00 - 23/04/2023 22:00:00,184.4,EUR,
23/04/2023 22:00:00 - 23/04/2023 23:00:00,140.76,EUR,
23/04/2023 23:00:00 - 24/04/2023 00:00:00,126.89,EUR,
24/04/2023 00:00:00 - 24/04/2023 01:00:00,119.99,EUR,
24/04/2023 01:00:00 - 24/04/2023 02:00:00,119.4,EUR,
24/04/2023 02:00:00 - 24/04/2023 03:00:00,119.39,EUR,
24/04/2023 03:00:00 - 24/04/2023 04:00:00,119.4,EUR,
24/04/2023 04:00:00 - 24/04/2023 05:00:00,112.76,EUR,
24/04/2023 05:00:00 - 24/04/2023 06:00:00,113.0,EUR,
24/04/2023 06:00:00 - 24/04/2023 07:00:00,119.57,EUR,
24/04/2023 07:00:00 - 24/04/2023 08:00:00,133.8,EUR,
24/04/2023 08:00:00 - 24/04/2023 09:00:00,135.0,EUR,
24/04/2023 09:00:00 - 24/04/2023 10:00:00,126.92,EUR,
24/04/2023 10:00:00 - 24/04/2023 11:00:00,120.0,EUR,
24/04/2023 11:00:00 - 24/04/2023 12:00:00,108.58,EUR,
24/04/2023 12:00:00 - 24/04/2023 13:00:00,83.0,EUR,
24/04/2023 13:00:00 - 24/04/2023 14:00:00,75.23,EUR,
24/04/2023 14:00:00 - 24/04/2023 15:00:00,50.0,EUR,
24/04/2023 15:00:00 - 24/04/2023 16:00:00,40.1,EUR,
24/04/2023 16:00:00 - 24/04/2023 17:00:00,80.0,EUR,
24/04/2023 17:00:00 - 24/04/2023 18:00:00,106.14,EUR,
24/04/2023 18:00:00 - 24/04/2023 19:00:00,119.0,EUR,
24/04/2023 19:00:00 - 24/04/2023 20:00:00,134.57,EUR,
24/04/2023 20:00:00 - 24/04/2023 21:00:00,135.97,EUR,
24/04/2023 21:00:00 - 24/04/2023 22:00:00,133.05,EUR,
24/04/2023 22:00:00 - 24/04/2023 23:00:00,121.8,EUR,
24/04/2023 23:00:00 - 25/04/2023 00:00:00,9.72,EUR,
25/04/2023 00:00:00 - 25/04/2023 01:00:00,107.6,EUR,
25/04/2023 01:00:00 - 25/04/2023 02:00:00,98.22,EUR,
25/04/2023 02:00:00 - 25/04/2023 03:00:00,95.49,EUR,
25/04/2023 03:00:00 - 25/04/2023 04:00:00,98.0,EUR,
25/04/2023 04:00:00 - 25/04/2023 05:00:00,100.0,EUR,
25/04/2023 05:00:00 - 25/04/2023 06:00:00,107.7,EUR,
25/04/2023 06:00:00 - 25/04/2023 07:00:00,121.6,EUR,
25/04/2023 07:00:00 - 25/04/2023 08:00:00,134.1,EUR,
25/04/2023 08:00:00 - 25/04/2023 09:00:00,134.93,EUR,
25/04/2023 09:00:00 - 25/04/2023 10:00:00,85.0,EUR,
25/04/2023 10:00:00 - 25/04/2023 11:00:00,98.88,EUR,
25/04/2023 11:00:00 - 25/04/2023 12:00:00,65.2,EUR,
25/04/2023 12:00:00 - 25/04/2023 13:00:00,60.73,EUR,
25/04/2023 13:00:00 - 25/04/2023 14:00:00,30.0,EUR,
25/04/2023 14:00:00 - 25/04/2023 15:00:00,30.0,EUR,
25/04/2023 15:00:00 - 25/04/2023 16:00:00,63.25,EUR,
25/04/2023 16:00:00 - 25/04/2023 17:00:00,85.02,EUR,
25/04/2023 17:00:00 - 25/04/2023 18:00:00,98.78,EUR,
25/04/2023 18:00:00 - 25/04/2023 19:00:00,120.04,EUR,
25/04/2023 19:00:00 - 25/04/2023 20:00:00,140.27,EUR,
25/04/2023 20:00:00 - 25/04/2023 21:00:00,144.16,EUR,
25/04/2023 21:00:00 - 25/04/2023 22:00:00,141.54,EUR,
25/04/2023 22:00:00 - 25/04/2023 23:00:00,137.53,EUR,
25/04/2023 23:00:00 - 26/04/2023 00:00:00,120.99,EUR,
26/04/2023 00:00:00 - 26/04/2023 01:00:00,111.0,EUR,
26/04/2023 01:00:00 - 26/04/2023 02:00:00,109.17,EUR,
26/04/2023 02:00:00 - 26/04/2023 03:00:00,106.78,EUR,
26/04/2023 03:00:00 - 26/04/2023 04:00:00,105.5,EUR,
26/04/2023 04:00:00 - 26/04/2023 05:00:00,106.4,EUR,
26/04/2023 05:00:00 - 26/04/2023 06:00:00,106.78,EUR,
26/04/2023 06:00:00 - 26/04/2023 07:00:00,125.16,EUR,
26/04/2023 07:00:00 - 26/04/2023 08:00:00,139.91,EUR,
26/04/2023 08:00:00 - 26/04/2023 09:00:00,129.89,EUR,
26/04/2023 09:00:00 - 26/04/2023 10:00:00,116.43,EUR,
26/04/2023 10:00:00 - 26/04/2023 11:00:00,92.82,EUR,
26/04/2023 11:00:00 - 26/04/2023 12:00:00,99.33,EUR,
26/04/2023 12:00:00 - 26/04/2023 13:00:00,89.01,EUR,
26/04/2023 13:00:00 - 26/04/2023 14:00:00,71.18,EUR,
26/04/2023 14:00:00 - 26/04/2023 15:00:00,80.0,EUR,
26/04/2023 15:00:00 - 26/04/2023 16:00:00,92.86,EUR,
26/04/2023 16:00:00 - 26/04/2023 17:00:00,98.2,EUR,
26/04/2023 17:00:00 - 26/04/2023 18:00:00,116.4,EUR,
26/04/2023 18:00:00 - 26/04/2023 19:00:00,129.87,EUR,
26/04/2023 19:00:00 - 26/04/2023 20:00:00,179.99,EUR,
26/04/2023 20:00:00 - 26/04/2023 21:00:00,199.99,EUR,
26/04/2023 21:00:00 - 26/04/2023 22:00:00,171.75,EUR,
26/04/2023 22:00:00 - 26/04/2023 23:00:00,144.0,EUR,
26/04/2023 23:00:00 - 27/04/2023 00:00:00,130.0,EUR,
27/04/2023 00:00:00 - 27/04/2023 01:00:00,106.81,EUR,
27/04/2023 01:00:00 - 27/04/2023 02:00:00,119.45,EUR,
27/04/2023 02:00:00 - 27/04/2023 03:00:00,117.81,EUR,
27/04/2023 03:00:00 - 27/04/2023 04:00:00,86.35,EUR,
27/04/2023 04:00:00 - 27/04/2023 05:00:00,117.53,EUR,
27/04/2023 05:00:00 - 27/04/2023 06:00:00,124.37,EUR,
27/04/2023 06:00:00 - 27/04/2023 07:00:00,143.14,EUR,
27/04/2023 07:00:00 - 27/04/2023 08:00:00,103.39,EUR,
27/04/2023 08:00:00 - 27/04/2023 09:00:00,93.01,EUR,
27/04/2023 09:00:00 - 27/04/2023 10:00:00,43.36,EUR,
27/04/2023 10:00:00 - 27/04/2023 11:00:00,14.97,EUR,
27/04/2023 11:00:00 - 27/04/2023 12:00:00,7.63,EUR,
27/04/2023 12:00:00 - 27/04/2023 13:00:00,0.18,EUR,
27/04/2023 13:00:00 - 27/04/2023 14:00:00,0.2,EUR,
27/04/2023 14:00:00 - 27/04/2023 15:00:00,2.84,EUR,
27/04/2023 15:00:00 - 27/04/2023 16:00:00,51.09,EUR,
27/04/2023 16:00:00 - 27/04/2023 17:00:00,95.05,EUR,
27/04/2023 17:00:00 - 27/04/2023 18:00:00,102.0,EUR,
27/04/2023 18:00:00 - 27/04/2023 19:00:00,130.0,EUR,
27/04/2023 19:00:00 - 27/04/2023 20:00:00,191.17,EUR,
27/04/2023 20:00:00 - 27/04/2023 21:00:00,203.79,EUR,
27/04/2023 21:00:00 - 27/04/2023 22:00:00,179.0,EUR,
27/04/2023 22:00:00 - 27/04/2023 23:00:00,158.32,EUR,
27/04/2023 23:00:00 - 28/04/2023 00:00:00,134.29,EUR,
28/04/2023 00:00:00 - 28/04/2023 01:00:00,134.07,EUR,
28/04/2023 01:00:00 - 28/04/2023 02:00:00,126.58,EUR,
28/04/2023 02:00:00 - 28/04/2023 03:00:00,125.17,EUR,
28/04/2023 03:00:00 - 28/04/2023 04:00:00,122.59,EUR,
28/04/2023 04:00:00 - 28/04/2023 05:00:00,124.45,EUR,
28/04/2023 05:00:00 - 28/04/2023 06:00:00,130.0,EUR,
28/04/2023 06:00:00 - 28/04/2023 07:00:00,140.3,EUR,
28/04/2023 07:00:00 - 28/04/2023 08:00:00,194.08,EUR,
28/04/2023 08:00:00 - 28/04/2023 09:00:00,134.12,EUR,
28/04/2023 09:00:00 - 28/04/2023 10:00:00,134.8,EUR,
28/04/2023 10:00:00 - 28/04/2023 11:00:00,93.01,EUR,
28/04/2023 11:00:00 - 28/04/2023 12:00:00,86.01,EUR,
28/04/2023 12:00:00 - 28/04/2023 13:00:00,84.0,EUR,
28/04/2023 13:00:00 - 28/04/2023 14:00:00,84.0,EUR,
28/04/2023 14:00:00 - 28/04/2023 15:00:00,84.0,EUR,
28/04/2023 15:00:00 - 28/04/2023 16:00:00,107.7,EUR,
28/04/2023 16:00:00 - 28/04/2023 17:00:00,117.27,EUR,
28/04/2023 17:00:00 - 28/04/2023 18:00:00,129.87,EUR,
28/04/2023 18:00:00 - 28/04/2023 19:00:00,125.6,EUR,
28/04/2023 19:00:00 - 28/04/2023 20:00:00,173.43,EUR,
28/04/2023 20:00:00 - 28/04/2023 21:00:00,209.08,EUR,
28/04/2023 21:00:00 - 28/04/2023 22:00:00,199.08,EUR,
28/04/2023 22:00:00 - 28/04/2023 23:00:00,204.08,EUR,
28/04/2023 23:00:00 - 29/04/2023 00:00:00,134.41,EUR,
29/04/2023 00:00:00 - 29/04/2023 01:00:00,121.0,EUR,
29/04/2023 01:00:00 - 29/04/2023 02:00:00,118.03,EUR,
29/04/2023 02:00:00 - 29/04/2023 03:00:00,117.04,EUR,
29/04/2023 03:00:00 - 29/04/2023 04:00:00,115.1,EUR,
29/04/2023 04:00:00 - 29/04/2023 05:00:00,112.41,EUR,
29/04/2023 05:00:00 - 29/04/2023 06:00:00,115.85,EUR,
29/04/2023 06:00:00 - 29/04/2023 07:00:00,118.51,EUR,
29/04/2023 07:00:00 - 29/04/2023 08:00:00,122.24,EUR,
29/04/2023 08:00:00 - 29/04/2023 09:00:00,122.39,EUR,
29/04/2023 09:00:00 - 29/04/2023 10:00:00,123.42,EUR,
29/04/2023 10:00:00 - 29/04/2023 11:00:00,100.42,EUR,
29/04/2023 11:00:00 - 29/04/2023 12:00:00,89.16,EUR,
29/04/2023 12:00:00 - 29/04/2023 13:00:00,82.23,EUR,
29/04/2023 13:00:00 - 29/04/2023 14:00:00,79.56,EUR,
29/04/2023 14:00:00 - 29/04/2023 15:00:00,66.2,EUR,
29/04/2023 15:00:00 - 29/04/2023 16:00:00,80.0,EUR,
29/04/2023 16:00:00 - 29/04/2023 17:00:00,101.6,EUR,
29/04/2023 17:00:00 - 29/04/2023 18:00:00,115.1,EUR,
29/04/2023 18:00:00 - 29/04/2023 19:00:00,123.99,EUR,
29/04/2023 19:00:00 - 29/04/2023 20:00:00,174.5,EUR,
29/04/2023 20:00:00 - 29/04/2023 21:00:00,197.0,EUR,
29/04/2023 21:00:00 - 29/04/2023 22:00:00,175.0,EUR,
29/04/2023 22:00:00 - 29/04/2023 23:00:00,140.83,EUR,
29/04/2023 23:00:00 - 30/04/2023 00:00:00,131.31,EUR,
30/04/2023 00:00:00 - 30/04/2023 01:00:00,115.0,EUR,
30/04/2023 01:00:00 - 30/04/2023 02:00:00,112.11,EUR,
30/04/2023 02:00:00 - 30/04/2023 03:00:00,110.0,EUR,
30/04/2023 03:00:00 - 30/04/2023 04:00:00,110.06,EUR,
30/04/2023 04:00:00 - 30/04/2023 05:00:00,110.06,EUR,
30/04/2023 05:00:00 - 30/04/2023 06:00:00,129.7,EUR,
30/04/2023 06:00:00 - 30/04/2023 07:00:00,129.33,EUR,
30/04/2023 07:00:00 - 30/04/2023 08:00:00,110.06,EUR,
30/04/2023 08:00:00 - 30/04/2023 09:00:00,108.0,EUR,
30/04/2023 09:00:00 - 30/04/2023 10:00:00,110.24,EUR,
30/04/2023 10:00:00 - 30/04/2023 11:00:00,110.23,EUR,
30/04/2023 11:00:00 - 30/04/2023 12:00:00,110.0,EUR,
30/04/2023 12:00:00 - 30/04/2023 13:00:00,113.48,EUR,
30/04/2023 13:00:00 - 30/04/2023 14:00:00,81.69,EUR,
30/04/2023 14:00:00 - 30/04/2023 15:00:00,84.0,EUR,
30/04/2023 15:00:00 - 30/04/2023 16:00:00,104.9,EUR,
30/04/2023 16:00:00 - 30/04/2023 17:00:00,109.1,EUR,
30/04/2023 17:00:00 - 30/04/2023 18:00:00,129.2,EUR,
30/04/2023 18:00:00 - 30/04/2023 19:00:00,113.4,EUR,
30/04/2023 19:00:00 - 30/04/2023 20:00:00,120.0,EUR,
30/04/2023 20:00:00 - 30/04/2023 21:00:00,192.72,EUR,
30/04/2023 21:00:00 - 30/04/2023 22:00:00,187.72,EUR,
30/04/2023 22:00:00 - 30/04/2023 23:00:00,139.93,EUR,
30/04/2023 23:00:00 - 01/05/2023 00:00:00,130.76,EUR,
01/05/2023 00:00:00 - 01/05/2023 01:00:00,129.26,EUR,
