MTU (CET/CEST),Area,Day-ahead Price (EUR/MWh)
03/01/2024 09:00:00 - 03/01/2024 10:00:00,BZN|IT-North,114.99
03/01/2024 10:00:00 - 03/01/2024 11:00:00,BZN|IT-North,109.3
03/01/2024 11:00:00 - 03/01/2024 12:00:00,BZN|IT-North,108.01
03/01/2024 12:00:00 - 03/01/2024 13:00:00,BZN|IT-North,94.96
03/01/2024 13:00:00 - 03/01/2024 14:00:00,BZN|IT-North,92.4
03/01/2024 14:00:00 - 03/01/2024 15:00:00,BZN|IT-North,97.57
03/01/2024 15:00:00 - 03/01/2024 16:00:00,BZN|IT-North,106.81
03/01/2024 16:00:00 - 03/01/2024 17:00:00,BZN|IT-North,110
03/01/2024 17:00:00 - 03/01/2024 18:00:00,BZN|IT-North,115.81
03/01/2024 18:00:00 - 03/01/2024 19:00:00,BZN|IT-North,115.81
03/01/2024 19:00:00 - 03/01/2024 20:00:00,BZN|IT-North,115.81
03/01/2024 20:00:00 - 03/01/2024 21:00:00,BZN|IT-North,109
03/01/2024 21:00:00 - 03/01/2024 22:00:00,BZN|IT-North,106
03/01/2024 22:00:00 - 03/01/2024 23:00:00,BZN|IT-North,101.46
03/01/2024 23:00:00 - 04/01/2024 00:00:00,BZN|IT-North,82.59
04/01/2024 00:00:00 - 04/01/2024 01:00:00,BZN|IT-North,74.19
04/01/2024 01:00:00 - 04/01/2024 02:00:00,BZN|IT-North,65
04/01/2024 02:00:00 - 04/01/2024 03:00:00,BZN|IT-North,40
04/01/2024 03:00:00 - 04/01/2024 04:00:00,BZN|IT-North,35.2
04/01/2024 04:00:00 - 04/01/2024 05:00:00,BZN|IT-North,49.39
04/01/2024 05:00:00 - 04/01/2024 06:00:00,BZN|IT-North,70.1
04/01/2024 06:00:00 - 04/01/2024 07:00:00,BZN|IT-North,97.61
04/01/2024 07:00:00 - 04/01/2024 08:00:00,BZN|IT-North,106.51
04/01/2024 08:00:00 - 04/01/2024 09:00:00,BZN|IT-North,110
04/01/2024 09:00:00 - 04/01/2024 10:00:00,BZN|IT-North,108.38
04/01/2024 10:00:00 - 04/01/2024 11:00:00,BZN|IT-North,97.83
04/01/2024 11:00:00 - 04/01/2024 12:00:00,BZN|IT-North,89.95
04/01/2024 12:00:00 - 04/01/2024 13:00:00,BZN|IT-North,86.21
04/01/2024 13:00:00 - 04/01/2024 14:00:00,BZN|IT-North,85.96
04/01/2024 14:00:00 - 04/01/2024 15:00:00,BZN|IT-North,92.11
04/01/2024 15:00:00 - 04/01/2024 16:00:00,BZN|IT-North,103.34
04/01/2024 16:00:00 - 04/01/2024 17:00:00,BZN|IT-North,110.02
04/01/2024 17:00:00 - 04/01/2024 18:00:00,BZN|IT-North,116.87
04/01/2024 18:00:00 - 04/01/2024 19:00:00,BZN|IT-North,118.1
04/01/2024 19:00:00 - 04/01/2024 20:00:00,BZN|IT-North,118.1
04/01/2024 20:00:00 - 04/01/2024 21:00:00,BZN|IT-North,112.99
04/01/2024 21:00:00 - 04/01/2024 22:00:00,BZN|IT-North,107.05
04/01/2024 22:00:00 - 04/01/2024 23:00:00,BZN|IT-North,105.59
04/01/2024 23:00:00 - 05/01/2024 00:00:00,BZN|IT-North,97.98
05/01/2024 00:00:00 - 05/01/2024 01:00:00,BZN|IT-North,86.08
05/01/2024 01:00:00 - 05/01/2024 02:00:00,BZN|IT-North,88.96
05/01/2024 02:00:00 - 05/01/2024 03:00:00,BZN|IT-North,78.5
05/01/2024 03:00:00 - 05/01/2024 04:00:00,BZN|IT-North,78.5
05/01/2024 04:00:00 - 05/01/2024 05:00:00,BZN|IT-North,79.39
05/01/2024 05:00:00 - 05/01/2024 06:00:00,BZN|IT-North,79.6
05/01/2024 06:00:00 - 05/01/2024 07:00:00,BZN|IT-North,103.46
05/01/2024 07:00:00 - 05/01/2024 08:00:00,BZN|IT-North,111.19
05/01/2024 08:00:00 - 05/01/2024 09:00:00,BZN|IT-North,115
05/01/2024 09:00:00 - 05/01/2024 10:00:00,BZN|IT-North,120.4
05/01/2024 10:00:00 - 05/01/2024 11:00:00,BZN|IT-North,114.72
05/01/2024 11:00:00 - 05/01/2024 12:00:00,BZN|IT-North,112.89
05/01/2024 12:00:00 - 05/01/2024 13:00:00,BZN|IT-North,112.48
05/01/2024 13:00:00 - 05/01/2024 14:00:00,BZN|IT-North,110.73
05/01/2024 14:00:00 - 05/01/2024 15:00:00,BZN|IT-North,112
05/01/2024 15:00:00 - 05/01/2024 16:00:00,BZN|IT-North,112.17
05/01/2024 16:00:00 - 05/01/2024 17:00:00,BZN|IT-North,113.85
05/01/2024 17:00:00 - 05/01/2024 18:00:00,BZN|IT-North,120
05/01/2024 18:00:00 - 05/01/2024 19:00:00,BZN|IT-North,119.66
05/01/2024 19:00:00 - 05/01/2024 20:00:00,BZN|IT-North,115.81
05/01/2024 20:00:00 - 05/01/2024 21:00:00,BZN|IT-North,111
05/01/2024 21:00:00 - 05/01/2024 22:00:00,BZN|IT-North,110
05/01/2024 22:00:00 - 05/01/2024 23:00:00,BZN|IT-North,104.84
05/01/2024 23:00:00 - 06/01/2024 00:00:00,BZN|IT-North,86.8
06/01/2024 00:00:00 - 06/01/2024 01:00:00,BZN|IT-North,97.5
06/01/2024 01:00:00 - 06/01/2024 02:00:00,BZN|IT-North,97.67
06/01/2024 02:00:00 - 06/01/2024 03:00:00,BZN|IT-North,93
06/01/2024 03:00:00 - 06/01/2024 04:00:00,BZN|IT-North,93
06/01/2024 04:00:00 - 06/01/2024 05:00:00,BZN|IT-North,89.7
06/01/2024 05:00:00 - 06/01/2024 06:00:00,BZN|IT-North,89.47
06/01/2024 06:00:00 - 06/01/2024 07:00:00,BZN|IT-North,91.96
06/01/2024 07:00:00 - 06/01/2024 08:00:00,BZN|IT-North,96.75
06/01/2024 08:00:00 - 06/01/2024 09:00:00,BZN|IT-North,94.66
